[CIE1964] 471
       xbar        ybar        zbar
699 1.03110e-02 4.00280e-03 0.00000e+00
700 9.57688e-03 3.71774e-03 0.00000e+00
701 8.89400e-03 3.45262e-03 0.00000e+00
702 8.25810e-03 3.20583e-03 0.00000e+00
703 7.66640e-03 2.97623e-03 0.00000e+00
704 7.11630e-03 2.76281e-03 0.00000e+00
705 6.60520e-03 2.56456e-03 0.00000e+00
706 6.13060e-03 2.38048e-03 0.00000e+00
707 5.69030e-03 2.20971e-03 0.00000e+00
708 5.28190e-03 2.05132e-03 0.00000e+00
709 4.90330e-03 1.90449e-03 0.00000e+00
710 4.55263e-03 1.76847e-03 0.00000e+00
711 4.22750e-03 1.64236e-03 0.00000e+00
712 3.92580e-03 1.52535e-03 0.00000e+00
713 3.64570e-03 1.41672e-03 0.00000e+00
714 3.38590e-03 1.31595e-03 0.00000e+00
715 3.14470e-03 1.22239e-03 0.00000e+00
716 2.92080e-03 1.13555e-03 0.00000e+00
717 2.71300e-03 1.05494e-03 0.00000e+00
718 2.52020e-03 9.80140e-04 0.00000e+00
719 2.34110e-03 9.10660e-04 0.00000e+00
720 2.17496e-03 8.46190e-04 0.00000e+00
721 2.02060e-03 7.86290e-04 0.00000e+00
722 1.87730e-03 7.30680e-04 0.00000e+00
723 1.74410e-03 6.78990e-04 0.00000e+00
724 1.62050e-03 6.31010e-04 0.00000e+00
725 1.50570e-03 5.86440e-04 0.00000e+00
726 1.39920e-03 5.45110e-04 0.00000e+00
727 1.30040e-03 5.06720e-04 0.00000e+00
728 1.20870e-03 4.71110e-04 0.00000e+00
729 1.12360e-03 4.38050e-04 0.00000e+00
730 1.04476e-03 4.07410e-04 0.00000e+00
731 9.71560e-04 3.78962e-04 0.00000e+00
732 9.03600e-04 3.52543e-04 0.00000e+00
733 8.40480e-04 3.28001e-04 0.00000e+00
734 7.81870e-04 3.05208e-04 0.00000e+00
735 7.27450e-04 2.84041e-04 0.00000e+00
736 6.76900e-04 2.64375e-04 0.00000e+00
737 6.29960e-04 2.46109e-04 0.00000e+00
738 5.86370e-04 2.29143e-04 0.00000e+00
739 5.45870e-04 2.13376e-04 0.00000e+00
740 5.08258e-04 1.98730e-04 0.00000e+00
741 4.73300e-04 1.85115e-04 0.00000e+00
742 4.40800e-04 1.72454e-04 0.00000e+00
743 4.10580e-04 1.60678e-04 0.00000e+00
744 3.82490e-04 1.49730e-04 0.00000e+00
745 3.56380e-04 1.39550e-04 0.00000e+00
746 3.32110e-04 1.30086e-04 0.00000e+00
747 3.09550e-04 1.21290e-04 0.00000e+00
748 2.88580e-04 1.13106e-04 0.00000e+00
749 2.69090e-04 1.05501e-04 0.00000e+00
750 2.50969e-04 9.84280e-05 0.00000e+00
751 2.34130e-04 9.18530e-05 0.00000e+00
752 2.18470e-04 8.57380e-05 0.00000e+00
753 2.03910e-04 8.00480e-05 0.00000e+00
754 1.90350e-04 7.47510e-05 0.00000e+00
755 1.77730e-04 6.98190e-05 0.00000e+00
756 1.65970e-04 6.52220e-05 0.00000e+00
757 1.55020e-04 6.09390e-05 0.00000e+00
758 1.44800e-04 5.69420e-05 0.00000e+00
759 1.35280e-04 5.32170e-05 0.00000e+00
760 1.26390e-04 4.97370e-05 0.00000e+00
761 1.18100e-04 4.64910e-05 0.00000e+00
762 1.10370e-04 4.34640e-05 0.00000e+00
763 1.03150e-04 4.06350e-05 0.00000e+00
764 9.64270e-05 3.80000e-05 0.00000e+00
765 9.01510e-05 3.55405e-05 0.00000e+00
766 8.42940e-05 3.32448e-05 0.00000e+00
767 7.88300e-05 3.11006e-05 0.00000e+00
768 7.37290e-05 2.90990e-05 0.00000e+00
769 6.89690e-05 2.72307e-05 0.00000e+00
770 6.45258e-05 2.54860e-05 0.00000e+00
771 6.03760e-05 2.38561e-05 0.00000e+00
772 5.65000e-05 2.23332e-05 0.00000e+00
773 5.28800e-05 2.09104e-05 0.00000e+00
774 4.94980e-05 1.95808e-05 0.00000e+00
775 4.63390e-05 1.83384e-05 0.00000e+00
776 4.33890e-05 1.71777e-05 0.00000e+00
777 4.06340e-05 1.60934e-05 0.00000e+00
778 3.80600e-05 1.50800e-05 0.00000e+00
779 3.56570e-05 1.41336e-05 0.00000e+00
780 3.34117e-05 1.32490e-05 0.00000e+00
781 3.13150e-05 1.24226e-05 0.00000e+00
782 2.93550e-05 1.16499e-05 0.00000e+00
783 2.75240e-05 1.09277e-05 0.00000e+00
784 2.58110e-05 1.02519e-05 0.00000e+00
785 2.42090e-05 9.61960e-06 0.00000e+00
786 2.27110e-05 9.02810e-06 0.00000e+00
