[CIE_UCS] 3201
 Tc	      urt	      vrt	   xt	   yt	   ur	   vr	  cr	  dr	 Ur1	 Ur2	 Ur3	 Ur4	 Ur5	 Ur6	 Ur7	 Ur8	 Ur9	Ur10	 Ur11	 Ur12	Ur13	 Ur14	Vr1	Vr2	Vr3	Vr4	 Vr5	 Vr6	 Vr7	 Vr8	 Vr9	Vr10	Vr11	 Vr12	Vr13	Vr14	 Wr1	 Wr2	 Wr3	 Wr4	 Wr5	 Wr6	 Wr7	 Wr8	 Wr9	Wr10	Wr11	Wr12	Wr13	Wr14
2370	0.279390041419	0.355579860366	0.48897	0.41488	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2372	0.279272967558	0.355557472120	0.48878	0.41487	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2374	0.279156094882	0.355535054369	0.48860	0.41485	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2376	0.279039422947	0.355512607234	0.48841	0.41484	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2378	0.278922951311	0.355490130840	0.48822	0.41483	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2380	0.278806679534	0.355467625308	0.48803	0.41481	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2382	0.278690607177	0.355445090760	0.48784	0.41480	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2384	0.278574733800	0.355422527317	0.48765	0.41478	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2386	0.278459058968	0.355399935102	0.48746	0.41477	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2388	0.278343582244	0.355377314234	0.48728	0.41476	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2390	0.278228303194	0.355354664834	0.48709	0.41474	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2392	0.278113221383	0.355331987024	0.48690	0.41473	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2394	0.277998336380	0.355309280922	0.48671	0.41471	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2396	0.277883647752	0.355286546649	0.48653	0.41470	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2398	0.277769155071	0.355263784324	0.48634	0.41468	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2400	0.277654857906	0.355240994067	0.48615	0.41467	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2402	0.277540755830	0.355218175995	0.48597	0.41465	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2404	0.277426848417	0.355195330229	0.48578	0.41464	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2406	0.277313135239	0.355172456885	0.48559	0.41462	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2408	0.277199615874	0.355149556082	0.48541	0.41460	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
2410	0.277086289897	0.355126627938	0.48522	0.41459	0.27770	0.3552	0.4784	1.6877	39.75	16.13	-17.06	-43.01	-37.17	-22.11	20.23	50.06	131.08	25.63	-51.96	-34.13	34.89	-12.30	0.74	5.36	10.20	5.91	-1.22	-9.11	-8.45	-6.52	-4.36	11.80	5.18	-18.34	3.27	5.71	63.74	61.51	60.90	57.15	58.27	57.58	60.83	64.75	49.34	83.42	46.89	22.62	82.26	39.50
